CLIENT;TRIALN;KEY;BASELINE;MAXLEUVEN;MAXV;REJECT;NON_RESPPONS;Stimulus;Total_Trial_Nr;practice;acq;DATE
'18/06/2018 8:49:29';0001,000;'ACT:PROB';956190,476;0668,000;4230000,000;1;0;0000,000;0001,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0002,000;'ACT:PROB';77142,857;0615,000;3670000,000;0;0;0010,000;0002,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0003,000;'ACT:PROB';1543809,524;0627,000;3220000,000;1;0;0001,000;0003,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0004,000;'ACT:PROB';161428,571;0649,000;4880000,000;0;0;0000,000;0004,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0005,000;'ACT:PROB';181904,762;0626,000;1860000,000;0;0;0010,000;0005,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0006,000;'ACT:PROB';675238,095;0656,000;3130000,000;0;0;0010,000;0006,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0007,000;'ACT:PROB';120952,381;0682,000;4410000,000;0;0;0000,000;0007,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0008,000;'ACT:PROB';92857,143;0623,000;2240000,000;0;0;0001,000;0008,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0009,000;'ACT:PROB';1049523,810;0622,000;1400000,000;0;1;0000,000;0009,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0010,000;'ACT:PROB';155238,095;0672,000;1040000,000;0;0;0001,000;0010,000;0001,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0011,000;'ACT:PROB';606190,476;0680,000;6350000,000;0;0;0001,000;0011,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0012,000;'ACT:PROB';545714,286;0655,000;6270000,000;0;0;0001,000;0013,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0013,000;'ACT:PROB';585238,095;0722,000;3420000,000;0;0;0001,000;0015,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0014,000;'ACT:PROB';153333,333;0654,000;4840000,000;0;0;0010,000;0017,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0015,000;'ACT:PROB';132857,143;0707,000;5310000,000;0;0;0010,000;0019,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0016,000;'ACT:PROB';1148571,429;0679,000;8890000,000;1;0;0001,000;0021,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0017,000;'ACT:PROB';156666,667;0658,000;5720000,000;0;0;0010,000;0023,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0018,000;'ACT:PROB';690000,000;0662,000;4640000,000;0;0;0010,000;0025,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0019,000;'ACT:PROB';657619,048;0669,000;12770000,000;0;0;0001,000;0027,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0020,000;'ACT:PROB';112380,952;0725,000;890000,000;0;0;0000,000;0029,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0021,000;'ACT:PROB';90476,190;0725,000;1710000,000;0;0;0010,000;0031,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0022,000;'ACT:PROB';114285,714;0648,000;2040000,000;0;0;0000,000;0037,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0023,000;'ACT:PROB';508571,429;0653,000;6100000,000;0;0;0006,000;0038,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0024,000;'ACT:PROB';129523,810;0654,000;6540000,000;0;0;0010,000;0040,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0025,000;'ACT:PROB';100000,000;0644,000;3270000,000;0;0;0007,000;0042,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0026,000;'ACT:PROB';272380,952;0725,000;1170000,000;0;0;0008,000;0044,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0027,000;'ACT:PROB';683333,333;0649,000;4430000,000;0;0;0001,000;0046,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0028,000;'ACT:PROB';141904,762;0700,000;2660000,000;0;0;0005,000;0048,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0029,000;'ACT:PROB';114285,714;0685,000;5720000,000;0;0;0009,000;0050,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0030,000;'ACT:PROB';631904,762;0678,000;3940000,000;0;0;0010,000;0052,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0031,000;'ACT:PROB';321904,762;0658,000;2960000,000;0;0;0007,000;0054,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0032,000;'ACT:PROB';714761,905;0679,000;1890000,000;0;0;0000,000;0055,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0033,000;'ACT:PROB';610000,000;0621,000;4050000,000;0;0;0008,000;0056,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0034,000;'ACT:PROB';138095,238;0700,000;3400000,000;0;0;0003,000;0058,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0035,000;'ACT:PROB';90476,190;0686,000;4980000,000;0;0;0001,000;0060,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0036,000;'ACT:PROB';232857,143;0664,000;5410000,000;0;0;0005,000;0062,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0037,000;'ACT:PROB';141428,571;0657,000;7040000,000;0;0;0002,000;0064,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0038,000;'ACT:PROB';129047,619;0662,000;6410000,000;0;0;0003,000;0066,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0039,000;'ACT:PROB';381428,571;0631,000;3320000,000;0;0;0006,000;0068,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0040,000;'ACT:PROB';103809,524;0724,000;4750000,000;0;0;0001,000;0070,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0041,000;'ACT:PROB';141904,762;0650,000;4500000,000;0;0;0001,000;0072,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0042,000;'ACT:PROB';105714,286;0724,000;1340000,000;0;0;0010,000;0074,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0043,000;'ACT:PROB';165714,286;0671,000;7210000,000;0;0;0004,000;0076,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0044,000;'ACT:PROB';126190,476;0686,000;2360000,000;0;0;0010,000;0078,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0045,000;'ACT:PROB';89047,619;0703,000;8840000,000;0;0;0004,000;0080,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0046,000;'ACT:PROB';193333,333;0670,000;4590000,000;0;0;0002,000;0082,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0047,000;'ACT:PROB';102857,143;0647,000;1410000,000;0;0;0009,000;0084,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0048,000;'ACT:PROB';103809,524;0641,000;6310000,000;0;0;0001,000;0086,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0049,000;'ACT:PROB';951904,762;0642,000;6570000,000;0;0;0001,000;0090,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0050,000;'ACT:PROB';1055238,095;0669,000;6940000,000;1;0;0010,000;0092,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0051,000;'ACT:PROB';342380,952;0705,000;3510000,000;0;0;0005,000;0094,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0052,000;'ACT:PROB';158571,429;0677,000;5270000,000;0;0;0005,000;0096,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0053,000;'ACT:PROB';142857,143;0649,000;2730000,000;0;0;0007,000;0098,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0054,000;'ACT:PROB';222380,952;0650,000;2210000,000;0;0;0010,000;0100,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0055,000;'ACT:PROB';491904,762;0659,000;3930000,000;0;0;0006,000;0102,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0056,000;'ACT:PROB';74285,714;0686,000;3600000,000;0;0;0008,000;0104,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0057,000;'ACT:PROB';107142,857;0721,000;3880000,000;0;0;0002,000;0106,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0058,000;'ACT:PROB';131904,762;0671,000;3350000,000;0;0;0009,000;0108,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0059,000;'ACT:PROB';589047,619;0663,000;4210000,000;0;0;0010,000;0110,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0060,000;'ACT:PROB';122380,952;0675,000;1540000,000;0;0;0000,000;0111,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0061,000;'ACT:PROB';192380,952;0607,000;1650000,000;0;0;0003,000;0112,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0062,000;'ACT:PROB';1031904,762;0653,000;3610000,000;1;0;0002,000;0114,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0063,000;'ACT:PROB';523333,333;0669,000;6860000,000;0;0;0006,000;0116,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0064,000;'ACT:PROB';100000,000;0635,000;1110000,000;0;0;0000,000;0118,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0065,000;'ACT:PROB';428571,429;0679,000;4420000,000;0;0;0007,000;0120,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0066,000;'ACT:PROB';112380,952;0679,000;3410000,000;0;0;0004,000;0122,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0067,000;'ACT:PROB';123809,524;0703,000;2600000,000;0;0;0008,000;0124,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0068,000;'ACT:PROB';258571,429;0668,000;3020000,000;0;0;0009,000;0126,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0069,000;'ACT:PROB';393333,333;0666,000;1480000,000;0;0;0010,000;0128,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0070,000;'ACT:PROB';862857,143;0668,000;3150000,000;1;0;0003,000;0130,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0071,000;'ACT:PROB';114761,905;0715,000;2020000,000;0;0;0004,000;0132,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0072,000;'ACT:PROB';311904,762;0656,000;2900000,000;0;0;0001,000;0134,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0073,000;'ACT:PROB';94761,905;0662,000;1130000,000;0;0;0001,000;0136,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0074,000;'ACT:PROB';81904,762;0724,000;1660000,000;0;0;0001,000;0138,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0075,000;'ACT:PROB';435714,286;0680,000;3550000,000;0;0;0001,000;0140,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0076,000;'ACT:PROB';600476,190;0644,000;8410000,000;0;0;0001,000;0143,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0077,000;'ACT:PROB';76666,667;0672,000;3860000,000;0;0;0001,000;0145,000;0000,000;0001,000;1806180850,000
'18/06/2018 8:49:29';0078,000;'ACT:PROB';661904,762;0637,000;1540000,000;0;0;0000,000;0149,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0079,000;'ACT:PROB';931428,571;0614,000;3500000,000;1;0;0001,000;0150,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0080,000;'ACT:PROB';820952,381;0573,000;730000,000;1;0;0006,000;0152,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0081,000;'ACT:PROB';646666,667;0674,000;3190000,000;1;0;0010,000;0154,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0082,000;'ACT:PROB';177142,857;0669,000;2210000,000;0;0;0008,000;0156,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0083,000;'ACT:PROB';875714,286;0700,000;4880000,000;1;0;0005,000;0158,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0084,000;'ACT:PROB';100000,000;0644,000;1320000,000;0;0;0006,000;0160,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0085,000;'ACT:PROB';184761,905;0700,000;4160000,000;0;0;0004,000;0162,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0086,000;'ACT:PROB';109047,619;0656,000;2750000,000;0;0;0009,000;0164,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0087,000;'ACT:PROB';370952,381;0668,000;4630000,000;0;0;0009,000;0166,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0088,000;'ACT:PROB';926666,667;0659,000;3650000,000;1;0;0010,000;0168,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0089,000;'ACT:PROB';169047,619;0718,000;2950000,000;0;0;0001,000;0170,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0090,000;'ACT:PROB';957619,048;0585,000;1770000,000;1;0;0000,000;0172,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0091,000;'ACT:PROB';293809,524;0673,000;1650000,000;0;0;0007,000;0173,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0092,000;'ACT:PROB';391904,762;0722,000;630000,000;0;0;0003,000;0175,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0093,000;'ACT:PROB';1212380,952;0692,000;3760000,000;1;0;0003,000;0177,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0094,000;'ACT:PROB';832857,143;0707,000;2210000,000;1;0;0007,000;0179,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0095,000;'ACT:PROB';180952,381;0669,000;2590000,000;0;0;0001,000;0181,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0096,000;'ACT:PROB';128571,429;0722,000;4150000,000;0;0;0005,000;0183,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0097,000;'ACT:PROB';133333,333;0677,000;1920000,000;0;0;0008,000;0185,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0098,000;'ACT:PROB';627142,857;0650,000;1660000,000;1;0;0002,000;0187,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0099,000;'ACT:PROB';198571,429;0637,000;1830000,000;0;0;0010,000;0189,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0100,000;'ACT:PROB';116666,667;0600,000;530000,000;0;0;0004,000;0191,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0101,000;'ACT:PROB';200952,381;0650,000;1040000,000;0;0;0010,000;0193,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0102,000;'ACT:PROB';280476,190;0644,000;2270000,000;0;0;0001,000;0195,000;0000,000;0000,000;1806180850,000
'18/06/2018 8:49:29';0103,000;'ACT:PROB';611428,571;0659,000;4280000,000;0;0;0002,000;0197,000;0000,000;0000,000;1806180850,000
