CLIENT;TRIALN;KEY;BASELINE;MAXLEUVEN;MAXV;REJECT;NON_RESPPONS;Stimulus;Total_Trial_Nr;practice;acq;DATE
'11/01/2018 9:55:14';0001,000;'ACT:PROB';350000,000;0636,000;530000,000;0;0;0000,000;0001,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0002,000;'ACT:PROB';483809,524;0618,000;12240000,000;0;0;0007,000;0002,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0003,000;'ACT:PROB';306666,667;0688,000;12650000,000;0;0;0000,000;0003,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0004,000;'ACT:PROB';186666,667;0697,000;300000,000;0;1;0007,000;0004,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0005,000;'ACT:PROB';149047,619;0612,000;10380000,000;0;0;0000,000;0005,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0006,000;'ACT:PROB';213333,333;0618,000;3810000,000;0;0;0000,000;0006,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0007,000;'ACT:PROB';353809,524;0655,000;730000,000;0;1;0007,000;0007,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0008,000;'ACT:PROB';273333,333;0608,000;14560000,000;0;0;0007,000;0008,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0009,000;'ACT:PROB';175714,286;0690,000;8610000,000;0;0;0007,000;0009,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0010,000;'ACT:PROB';423333,333;0625,000;9290000,000;0;0;0007,000;0010,000;0001,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0011,000;'ACT:PROB';196190,476;0674,000;12560000,000;0;0;0007,000;0012,000;0000,000;0001,000;1801111001,000
'11/01/2018 9:55:14';0012,000;'ACT:PROB';198095,238;0669,000;20300000,000;0;0;0007,000;0014,000;0000,000;0001,000;1801111001,000
'11/01/2018 9:55:14';0013,000;'ACT:PROB';366666,667;0648,000;4570000,000;0;0;0007,000;0016,000;0000,000;0001,000;1801111001,000
'11/01/2018 9:55:14';0014,000;'ACT:PROB';254285,714;0724,000;730000,000;0;0;0007,000;0018,000;0000,000;0001,000;1801111001,000
'11/01/2018 9:55:14';0015,000;'ACT:PROB';166666,667;0664,000;4930000,000;0;0;0007,000;0020,000;0000,000;0001,000;1801111001,000
'11/01/2018 9:55:14';0016,000;'ACT:PROB';158095,238;0617,000;1460000,000;0;0;0000,000;0021,000;0000,000;0001,000;1801111001,000
'11/01/2018 9:55:14';0017,000;'ACT:PROB';672380,952;0692,000;2940000,000;0;0;0007,000;0024,000;0000,000;0001,000;1801111001,000
'11/01/2018 9:55:14';0018,000;'ACT:PROB';154285,714;0725,000;10380000,000;0;0;0008,000;0026,000;0000,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0019,000;'ACT:PROB';213809,524;0592,000;350000,000;0;1;0007,000;0028,000;0000,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0020,000;'ACT:PROB';141904,762;0725,000;440000,000;0;0;0006,000;0030,000;0000,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0021,000;'ACT:PROB';622857,143;0660,000;1150000,000;0;0;0007,000;0032,000;0000,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0022,000;'ACT:PROB';170000,000;0641,000;680000,000;0;0;0009,000;0034,000;0000,000;0000,000;1801111001,000
'11/01/2018 9:55:14';0023,000;'ACT:PROB';150476,190;0650,000;600000,000;0;0;0000,000;0036,000;0000,000;0000,000;1801111001,000
