CLIENT	TRIALN	KEY	BASELINE	MAXLEUVEN	MAXV	REJECT	NON_RESPPONS	Stimulus	Total_Trial_Nr	practice	acq	DATE
'11/01/2018 9:55:14'	1	'ACT:PROB'	350000	636	530000	0	0	0	1	1	0	1801111001
'11/01/2018 9:55:14'	2	'ACT:PROB'	483809,524	618	12240000	0	0	7	2	1	0	1801111001
'11/01/2018 9:55:14'	3	'ACT:PROB'	306666,667	688	12650000	0	0	0	3	1	0	1801111001
'11/01/2018 9:55:14'	4	'ACT:PROB'	186666,667	697	300000	0	1	7	4	1	0	1801111001
'11/01/2018 9:55:14'	5	'ACT:PROB'	149047,619	612	10380000	0	0	0	5	1	0	1801111001
'11/01/2018 9:55:14'	6	'ACT:PROB'	213333,333	618	3810000	0	0	0	6	1	0	1801111001
'11/01/2018 9:55:14'	7	'ACT:PROB'	353809,524	655	730000	0	1	7	7	1	0	1801111001
'11/01/2018 9:55:14'	8	'ACT:PROB'	273333,333	608	14560000	0	0	7	8	1	0	1801111001
'11/01/2018 9:55:14'	9	'ACT:PROB'	175714,286	690	8610000	0	0	7	9	1	0	1801111001
'11/01/2018 9:55:14'	10	'ACT:PROB'	423333,333	625	9290000	0	0	7	10	1	0	1801111001
'11/01/2018 9:55:14'	11	'ACT:PROB'	196190,476	674	12560000	0	0	7	12	0	1	1801111001
'11/01/2018 9:55:14'	12	'ACT:PROB'	198095,238	669	20300000	0	0	7	14	0	1	1801111001
'11/01/2018 9:55:14'	13	'ACT:PROB'	366666,667	648	4570000	0	0	7	16	0	1	1801111001
'11/01/2018 9:55:14'	14	'ACT:PROB'	254285,714	724	730000	0	0	7	18	0	1	1801111001
'11/01/2018 9:55:14'	15	'ACT:PROB'	166666,667	664	4930000	0	0	7	20	0	1	1801111001
'11/01/2018 9:55:14'	16	'ACT:PROB'	158095,238	617	1460000	0	0	0	21	0	1	1801111001
'11/01/2018 9:55:14'	17	'ACT:PROB'	672380,952	692	2940000	0	0	7	24	0	1	1801111001
'11/01/2018 9:55:14'	18	'ACT:PROB'	154285,714	725	10380000	0	0	8	26	0	0	1801111001
'11/01/2018 9:55:14'	19	'ACT:PROB'	213809,524	592	350000	0	1	7	28	0	0	1801111001
'11/01/2018 9:55:14'	20	'ACT:PROB'	141904,762	725	440000	0	0	6	30	0	0	1801111001
'11/01/2018 9:55:14'	21	'ACT:PROB'	622857,143	660	1150000	0	0	7	32	0	0	1801111001
'11/01/2018 9:55:14'	22	'ACT:PROB'	170000	641	680000	0	0	9	34	0	0	1801111001
'11/01/2018 9:55:14'	23	'ACT:PROB'	150476,19	650	600000	0	0	0	36	0	0	1801111001
'11/01/2018 9:55:14'	24	'ACT:PROB'	206190,476	653	10120000	0	0	5	38	0	0	1801111001
'11/01/2018 9:55:14'	25	'ACT:PROB'	181904,762	699	980000	0	0	8	40	0	0	1801111001
'11/01/2018 9:55:14'	26	'ACT:PROB'	147142,857	626	260000	0	1	0	41	0	0	1801111001
'11/01/2018 9:55:14'	27	'ACT:PROB'	177619,048	709	1050000	0	1	9	43	0	0	1801111001
'11/01/2018 9:55:14'	28	'ACT:PROB'	169047,619	661	9130000	0	0	10	45	0	0	1801111001
'11/01/2018 9:55:14'	29	'ACT:PROB'	145238,095	724	1720000	0	1	7	47	0	0	1801111001
'11/01/2018 9:55:14'	30	'ACT:PROB'	197142,857	643	610000	0	0	5	49	0	0	1801111001
'11/01/2018 9:55:14'	31	'ACT:PROB'	171428,571	672	9460000	0	0	10	51	0	0	1801111001
'11/01/2018 9:55:14'	32	'ACT:PROB'	267142,857	714	440000	0	1	4	53	0	0	1801111001
'11/01/2018 9:55:14'	33	'ACT:PROB'	262857,143	664	13990000	0	0	6	55	0	0	1801111001
'11/01/2018 9:55:14'	34	'ACT:PROB'	272857,143	640	15290000	0	0	7	57	0	0	1801111001
'11/01/2018 9:55:14'	35	'ACT:PROB'	293809,524	665	2010000	0	0	4	59	0	0	1801111001
'11/01/2018 9:55:14'	36	'ACT:PROB'	495238,095	684	9000000	0	0	7	65	0	1	1801111001
'11/01/2018 9:55:14'	37	'ACT:PROB'	418571,429	623	13940000	0	0	7	66	0	1	1801111001
'11/01/2018 9:55:14'	38	'ACT:PROB'	201428,571	616	610000	0	1	7	67	0	1	1801111001
'11/01/2018 9:55:14'	39	'ACT:PROB'	128571,429	689	1510000	0	0	7	71	0	1	1801111001
'11/01/2018 9:55:14'	40	'ACT:PROB'	528571,429	644	9660000	0	0	4	75	0	0	1801111001
'11/01/2018 9:55:14'	41	'ACT:PROB'	1837142,857	722	1670000	0	1	8	77	0	0	1801111001
'11/01/2018 9:55:14'	42	'ACT:PROB'	237619,048	655	15950000	0	0	7	79	0	0	1801111001
'11/01/2018 9:55:14'	43	'ACT:PROB'	537142,857	612	1350000	0	1	0	80	0	0	1801111001
'11/01/2018 9:55:14'	44	'ACT:PROB'	173333,333	630	1190000	0	0	9	81	0	0	1801111001
'11/01/2018 9:55:14'	45	'ACT:PROB'	198095,238	655	410000	0	1	6	83	0	0	1801111001
'11/01/2018 9:55:14'	46	'ACT:PROB'	341428,571	719	1700000	0	1	8	85	0	0	1801111001
'11/01/2018 9:55:14'	47	'ACT:PROB'	144285,714	703	920000	0	1	10	87	0	0	1801111001
'11/01/2018 9:55:14'	48	'ACT:PROB'	949523,81	655	1540000	0	1	7	89	0	0	1801111001
'11/01/2018 9:55:14'	49	'ACT:PROB'	550476,19	586	850000	0	1	10	91	0	0	1801111001
'11/01/2018 9:55:14'	50	'ACT:PROB'	328095,238	662	2000000	0	0	9	93	0	0	1801111001
'11/01/2018 9:55:14'	51	'ACT:PROB'	201904,762	673	1190000	0	0	5	95	0	0	1801111001
'11/01/2018 9:55:14'	52	'ACT:PROB'	111904,762	639	1730000	0	0	7	97	0	0	1801111001
'11/01/2018 9:55:14'	53	'ACT:PROB'	243333,333	666	430000	0	1	6	99	0	0	1801111001
'11/01/2018 9:55:14'	54	'ACT:PROB'	597619,048	668	730000	0	1	0	101	0	0	1801111001
'11/01/2018 9:55:14'	55	'ACT:PROB'	196666,667	640	12790000	0	0	4	103	0	0	1801111001
'11/01/2018 9:55:14'	56	'ACT:PROB'	403809,524	648	13080000	0	0	5	105	0	0	1801111001
'11/01/2018 9:55:14'	57	'ACT:PROB'	115238,095	643	1060000	0	0	7	107	0	0	1801111001
'11/01/2018 9:55:14'	58	'ACT:PROB'	504761,905	695	8680000	0	0	7	112	0	1	1801111001
'11/01/2018 9:55:14'	59	'ACT:PROB'	291904,762	673	1060000	0	0	7	117	0	1	1801111001
