CLIENT;TRIALN;KEY;BASELINE;MAXLEUVEN;MAXV;REJECT;NON_RESPPONS;Stimulus;Total_Trial_Nr;practice;acq;DATE
'14/06/2018 15:25:35';0001,000;'ACT:PROB';250952,381;0713,000;3240000,000;1;0;0001,000;0001,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0002,000;'ACT:PROB';237142,857;0611,000;3800000,000;1;0;0010,000;0002,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0003,000;'ACT:PROB';355238,095;0633,000;3520000,000;0;0;0000,000;0003,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0004,000;'ACT:PROB';185238,095;0677,000;4250000,000;0;0;0010,000;0004,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0005,000;'ACT:PROB';568571,429;0620,000;3890000,000;1;0;0010,000;0005,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0006,000;'ACT:PROB';203333,333;0640,000;2960000,000;0;0;0001,000;0006,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0007,000;'ACT:PROB';190476,190;0614,000;2870000,000;0;0;0000,000;0007,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0008,000;'ACT:PROB';583333,333;0619,000;3520000,000;1;0;0001,000;0008,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0009,000;'ACT:PROB';630476,190;0617,000;2940000,000;0;0;0000,000;0009,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0010,000;'ACT:PROB';160476,190;0619,000;3430000,000;0;0;0000,000;0010,000;0001,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0011,000;'ACT:PROB';206666,667;0677,000;4030000,000;0;0;0010,000;0011,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0012,000;'ACT:PROB';213809,524;0666,000;3500000,000;0;0;0001,000;0013,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0013,000;'ACT:PROB';188571,429;0644,000;5080000,000;0;0;0001,000;0015,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0014,000;'ACT:PROB';1010000,000;0635,000;4740000,000;1;0;0010,000;0017,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0015,000;'ACT:PROB';1717619,048;0633,000;6480000,000;1;0;0001,000;0019,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0016,000;'ACT:PROB';127142,857;0698,000;5160000,000;1;0;0010,000;0021,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0017,000;'ACT:PROB';196190,476;0695,000;4610000,000;0;0;0000,000;0023,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0018,000;'ACT:PROB';130000,000;0654,000;4170000,000;0;0;0001,000;0025,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0019,000;'ACT:PROB';121904,762;0601,000;3040000,000;0;0;0010,000;0027,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0020,000;'ACT:PROB';188095,238;0661,000;5050000,000;1;0;0010,000;0029,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0021,000;'ACT:PROB';1410000,000;0640,000;3890000,000;1;0;0001,000;0031,000;0000,000;0001,000;1806141526,000
'14/06/2018 15:25:35';0022,000;'ACT:PROB';180476,190;0673,000;3070000,000;0;0;0010,000;0036,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0023,000;'ACT:PROB';292380,952;0644,000;4430000,000;1;0;0008,000;0038,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0024,000;'ACT:PROB';794761,905;0658,000;3700000,000;1;0;0004,000;0040,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0025,000;'ACT:PROB';853333,333;0647,000;1460000,000;1;0;0000,000;0041,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0026,000;'ACT:PROB';179523,810;0709,000;5450000,000;0;0;0002,000;0043,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0027,000;'ACT:PROB';174285,714;0708,000;3160000,000;0;0;0001,000;0045,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0028,000;'ACT:PROB';165238,095;0724,000;2090000,000;0;0;0006,000;0047,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0029,000;'ACT:PROB';170476,190;0676,000;2510000,000;0;0;0000,000;0049,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0030,000;'ACT:PROB';320952,381;0636,000;2590000,000;0;0;0009,000;0050,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0031,000;'ACT:PROB';206190,476;0683,000;1900000,000;0;0;0009,000;0052,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0032,000;'ACT:PROB';236666,667;0665,000;3130000,000;0;0;0010,000;0054,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0033,000;'ACT:PROB';306666,667;0666,000;1520000,000;0;0;0005,000;0056,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0034,000;'ACT:PROB';647142,857;0684,000;2930000,000;0;0;0008,000;0058,000;0000,000;0000,000;1806141526,000
'14/06/2018 15:25:35';0035,000;'ACT:PROB';209523,810;0683,000;3170000,000;0;0;0001,000;0060,000;0000,000;0000,000;1806141526,000
