CLIENT;TRIALN;KEY;BASELINE;MAXLEUVEN;MAXV;REJECT;NON_RESPPONS;Stimulus;Total_Trial_Nr;practice;acq;DATE
'11/01/2018 11:08:45';0001,000;'ACT:PROB';370952,381;0709,000;7700000,000;0;0;0000,000;0001,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0002,000;'ACT:PROB';88571,429;0608,000;10150000,000;0;0;0000,000;0002,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0003,000;'ACT:PROB';305238,095;0691,000;10920000,000;0;0;0007,000;0003,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0004,000;'ACT:PROB';2241428,571;0615,000;21510000,000;0;0;0000,000;0004,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0005,000;'ACT:PROB';993809,524;0632,000;5520000,000;0;0;0007,000;0005,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0006,000;'ACT:PROB';118095,238;0685,000;13610000,000;0;0;0000,000;0006,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0007,000;'ACT:PROB';322857,143;0671,000;8750000,000;0;0;0007,000;0007,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0008,000;'ACT:PROB';114285,714;0682,000;9470000,000;0;0;0007,000;0008,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0009,000;'ACT:PROB';201428,571;0622,000;8090000,000;0;0;0007,000;0009,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0010,000;'ACT:PROB';851904,762;0615,000;14910000,000;0;0;0007,000;0010,000;0001,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0011,000;'ACT:PROB';295238,095;0725,000;11540000,000;0;0;0007,000;0011,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0012,000;'ACT:PROB';1160000,000;0683,000;10330000,000;0;0;0007,000;0013,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0013,000;'ACT:PROB';1249047,619;0610,000;9060000,000;0;0;0000,000;0014,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0014,000;'ACT:PROB';216190,476;0724,000;14610000,000;0;0;0007,000;0016,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0015,000;'ACT:PROB';125714,286;0715,000;9700000,000;0;0;0007,000;0018,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0016,000;'ACT:PROB';176666,667;0642,000;11540000,000;0;0;0007,000;0020,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0017,000;'ACT:PROB';241428,571;0684,000;12890000,000;0;0;0007,000;0022,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0018,000;'ACT:PROB';2087619,048;0668,000;11530000,000;0;0;0009,000;0027,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0019,000;'ACT:PROB';480000,000;0645,000;12020000,000;0;0;0006,000;0029,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0020,000;'ACT:PROB';2255714,286;0645,000;13380000,000;1;0;0009,000;0031,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0021,000;'ACT:PROB';1070000,000;0654,000;7660000,000;0;0;0000,000;0033,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0022,000;'ACT:PROB';191428,571;0661,000;12170000,000;0;0;0005,000;0035,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0023,000;'ACT:PROB';119047,619;0666,000;14170000,000;0;0;0007,000;0037,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0024,000;'ACT:PROB';225238,095;0642,000;7960000,000;0;0;0004,000;0039,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0025,000;'ACT:PROB';2335238,095;0659,000;10100000,000;1;0;0010,000;0041,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0026,000;'ACT:PROB';1400000,000;0641,000;11600000,000;1;0;0006,000;0043,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0027,000;'ACT:PROB';2375238,095;0649,000;15780000,000;1;0;0005,000;0045,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0028,000;'ACT:PROB';250952,381;0725,000;490000,000;0;0;0010,000;0047,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0029,000;'ACT:PROB';99523,810;0666,000;4980000,000;0;0;0007,000;0049,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0030,000;'ACT:PROB';450000,000;0668,000;10330000,000;0;0;0007,000;0051,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0031,000;'ACT:PROB';339047,619;0660,000;10140000,000;0;0;0008,000;0053,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0032,000;'ACT:PROB';200476,190;0674,000;5340000,000;0;0;0000,000;0055,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0033,000;'ACT:PROB';3075238,095;0662,000;13100000,000;1;0;0007,000;0057,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0034,000;'ACT:PROB';309523,810;0725,000;4130000,000;0;0;0004,000;0059,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0035,000;'ACT:PROB';280952,381;0701,000;13480000,000;0;0;0008,000;0061,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0036,000;'ACT:PROB';157619,048;0647,000;12350000,000;0;0;0007,000;0065,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0037,000;'ACT:PROB';99523,810;0697,000;15370000,000;0;0;0007,000;0068,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0038,000;'ACT:PROB';127142,857;0661,000;10960000,000;0;0;0007,000;0070,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0039,000;'ACT:PROB';144761,905;0611,000;15170000,000;0;0;0007,000;0071,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0040,000;'ACT:PROB';317142,857;0673,000;7900000,000;0;0;0006,000;0075,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0041,000;'ACT:PROB';230000,000;0686,000;16830000,000;0;0;0008,000;0077,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0042,000;'ACT:PROB';1766666,667;0713,000;7320000,000;0;0;0006,000;0079,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0043,000;'ACT:PROB';213333,333;0710,000;4180000,000;0;0;0000,000;0081,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0044,000;'ACT:PROB';1180000,000;0684,000;5900000,000;0;0;0005,000;0082,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0045,000;'ACT:PROB';163809,524;0659,000;11870000,000;0;0;0007,000;0084,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0046,000;'ACT:PROB';1130476,190;0652,000;7630000,000;0;0;0004,000;0086,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0047,000;'ACT:PROB';317142,857;0674,000;13080000,000;0;0;0007,000;0088,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0048,000;'ACT:PROB';191904,762;0661,000;10480000,000;0;0;0004,000;0090,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0049,000;'ACT:PROB';239523,810;0668,000;11710000,000;0;0;0000,000;0091,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0050,000;'ACT:PROB';486666,667;0723,000;5540000,000;0;0;0009,000;0093,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0051,000;'ACT:PROB';632857,143;0652,000;12490000,000;0;0;0010,000;0095,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0052,000;'ACT:PROB';510952,381;0660,000;10290000,000;0;0;0008,000;0097,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0053,000;'ACT:PROB';145238,095;0673,000;6070000,000;0;0;0007,000;0099,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0054,000;'ACT:PROB';1083809,524;0644,000;10370000,000;0;0;0010,000;0101,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0055,000;'ACT:PROB';863809,524;0676,000;10640000,000;0;0;0007,000;0103,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0056,000;'ACT:PROB';225238,095;0693,000;11510000,000;0;0;0005,000;0105,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0057,000;'ACT:PROB';135714,286;0668,000;8340000,000;0;0;0009,000;0107,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0058,000;'ACT:PROB';130000,000;0681,000;8270000,000;0;0;0007,000;0113,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0059,000;'ACT:PROB';229523,810;0697,000;14030000,000;0;0;0007,000;0117,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0060,000;'ACT:PROB';168095,238;0685,000;12520000,000;0;0;0007,000;0118,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0061,000;'ACT:PROB';409523,810;0708,000;13590000,000;0;0;0007,000;0120,000;0000,000;0001,000;1801111110,000
'11/01/2018 11:08:45';0062,000;'ACT:PROB';3850476,190;0673,000;9950000,000;1;0;0004,000;0122,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0063,000;'ACT:PROB';128095,238;0672,000;9660000,000;0;0;0007,000;0124,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0064,000;'ACT:PROB';918571,429;0717,000;4330000,000;0;0;0010,000;0126,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0065,000;'ACT:PROB';659523,810;0641,000;16220000,000;0;0;0005,000;0128,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0066,000;'ACT:PROB';192380,952;0624,000;7970000,000;0;0;0000,000;0129,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0067,000;'ACT:PROB';165714,286;0675,000;15640000,000;0;0;0007,000;0130,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0068,000;'ACT:PROB';108571,429;0643,000;7990000,000;0;0;0007,000;0132,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0069,000;'ACT:PROB';113333,333;0725,000;9630000,000;0;0;0008,000;0134,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0070,000;'ACT:PROB';487619,048;0664,000;9430000,000;0;0;0007,000;0136,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0071,000;'ACT:PROB';386190,476;0651,000;9220000,000;0;0;0006,000;0138,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0072,000;'ACT:PROB';178095,238;0683,000;8880000,000;0;0;0005,000;0140,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0073,000;'ACT:PROB';133333,333;0668,000;15260000,000;0;0;0009,000;0142,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0074,000;'ACT:PROB';165714,286;0656,000;10530000,000;0;0;0010,000;0144,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0075,000;'ACT:PROB';327619,048;0661,000;14650000,000;0;0;0004,000;0146,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0076,000;'ACT:PROB';146666,667;0620,000;4820000,000;0;0;0000,000;0147,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0077,000;'ACT:PROB';113333,333;0645,000;7350000,000;0;0;0008,000;0148,000;0000,000;0000,000;1801111110,000
'11/01/2018 11:08:45';0078,000;'ACT:PROB';4880476,190;0638,000;10820000,000;1;0;0009,000;0150,000;0000,000;0000,000;1801111110,000
