CLIENT;TRIALN;KEY;BASELINE;MAXLEUVEN;MAXV;REJECT;NON_RESPPONS;Stimulus;Total_Trial_Nr;practice;acq;DATE
'11/01/2018 12:15:39';0001,000;'ACT:PROB';976666,667;0697,000;7730000,000;0;0;0000,000;0001,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0002,000;'ACT:PROB';1450000,000;0679,000;5100000,000;0;0;0007,000;0002,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0003,000;'ACT:PROB';1977619,048;0649,000;5860000,000;1;0;0000,000;0003,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0004,000;'ACT:PROB';619047,619;0640,000;4400000,000;0;0;0000,000;0004,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0005,000;'ACT:PROB';739047,619;0601,000;5900000,000;0;0;0000,000;0005,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0006,000;'ACT:PROB';591904,762;0688,000;3290000,000;0;0;0007,000;0006,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0007,000;'ACT:PROB';332380,952;0677,000;6480000,000;0;0;0007,000;0007,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0008,000;'ACT:PROB';517619,048;0665,000;4870000,000;0;0;0007,000;0008,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0009,000;'ACT:PROB';1807142,857;0600,000;2790000,000;1;0;0007,000;0009,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0010,000;'ACT:PROB';694761,905;0622,000;4650000,000;0;0;0007,000;0010,000;0001,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0011,000;'ACT:PROB';562857,143;0701,000;3850000,000;0;0;0007,000;0012,000;0000,000;0001,000;1801111216,000
'11/01/2018 12:15:39';0012,000;'ACT:PROB';521428,571;0681,000;5610000,000;0;0;0007,000;0014,000;0000,000;0001,000;1801111216,000
'11/01/2018 12:15:39';0013,000;'ACT:PROB';161904,762;0657,000;2360000,000;0;0;0000,000;0016,000;0000,000;0001,000;1801111216,000
'11/01/2018 12:15:39';0014,000;'ACT:PROB';284285,714;0725,000;3210000,000;0;0;0007,000;0018,000;0000,000;0001,000;1801111216,000
'11/01/2018 12:15:39';0015,000;'ACT:PROB';155714,286;0665,000;2350000,000;0;0;0007,000;0020,000;0000,000;0001,000;1801111216,000
'11/01/2018 12:15:39';0016,000;'ACT:PROB';186190,476;0661,000;2450000,000;0;0;0007,000;0022,000;0000,000;0001,000;1801111216,000
'11/01/2018 12:15:39';0017,000;'ACT:PROB';342857,143;0725,000;4120000,000;0;0;0007,000;0024,000;0000,000;0001,000;1801111216,000
'11/01/2018 12:15:39';0018,000;'ACT:PROB';308095,238;0724,000;3780000,000;0;0;0004,000;0026,000;0000,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0019,000;'ACT:PROB';169047,619;0652,000;3220000,000;0;0;0010,000;0028,000;0000,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0020,000;'ACT:PROB';166190,476;0673,000;4500000,000;0;0;0009,000;0030,000;0000,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0021,000;'ACT:PROB';230952,381;0651,000;3950000,000;0;0;0000,000;0032,000;0000,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0022,000;'ACT:PROB';408571,429;0632,000;2060000,000;0;0;0005,000;0033,000;0000,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0023,000;'ACT:PROB';704761,905;0657,000;3170000,000;0;0;0000,000;0035,000;0000,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0024,000;'ACT:PROB';131904,762;0674,000;2470000,000;0;0;0006,000;0037,000;0000,000;0000,000;1801111216,000
'11/01/2018 12:15:39';0025,000;'ACT:PROB';1499047,619;0664,000;2980000,000;1;0;0008,000;0039,000;0000,000;0000,000;1801111216,000
