CLIENT;TRIALN;KEY;BASELINE;MAXLEUVEN;MAXV;REJECT;NON_RESPPONS;Stimulus;Total_Trial_Nr;practice;acq;DATE
'14/06/2018 13:51:45';0001,000;'ACT:PROB';240000,000;0682,000;480000,000;0;0;0000,000;0001,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0002,000;'ACT:PROB';571428,571;0637,000;4840000,000;0;0;0000,000;0002,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0003,000;'ACT:PROB';418095,238;0624,000;2840000,000;0;0;0001,000;0003,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0004,000;'ACT:PROB';363333,333;0621,000;2930000,000;0;0;0001,000;0004,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0005,000;'ACT:PROB';242857,143;0686,000;760000,000;0;0;0010,000;0005,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0006,000;'ACT:PROB';397142,857;0613,000;4900000,000;0;0;0000,000;0006,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0007,000;'ACT:PROB';246190,476;0707,000;2340000,000;0;0;0010,000;0007,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0008,000;'ACT:PROB';207142,857;0651,000;1890000,000;0;0;0000,000;0008,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0009,000;'ACT:PROB';445238,095;0612,000;4020000,000;0;0;0001,000;0009,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0010,000;'ACT:PROB';385714,286;0692,000;700000,000;0;0;0010,000;0010,000;0001,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0011,000;'ACT:PROB';336666,667;0669,000;5540000,000;0;0;0010,000;0012,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0012,000;'ACT:PROB';206666,667;0709,000;4660000,000;0;0;0010,000;0014,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0013,000;'ACT:PROB';218571,429;0658,000;3230000,000;0;0;0001,000;0016,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0014,000;'ACT:PROB';681428,571;0679,000;6460000,000;1;0;0010,000;0018,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0015,000;'ACT:PROB';203809,524;0703,000;7880000,000;0;0;0001,000;0020,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0016,000;'ACT:PROB';654761,905;0650,000;4360000,000;1;0;0000,000;0022,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0017,000;'ACT:PROB';263333,333;0638,000;5930000,000;0;0;0001,000;0024,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0018,000;'ACT:PROB';2121428,571;0677,000;7060000,000;1;0;0010,000;0026,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0019,000;'ACT:PROB';389523,810;0663,000;5410000,000;0;0;0010,000;0028,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0020,000;'ACT:PROB';168095,238;0667,000;6490000,000;0;0;0001,000;0030,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0021,000;'ACT:PROB';185238,095;0725,000;9330000,000;0;0;0001,000;0032,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0022,000;'ACT:PROB';515714,286;0700,000;4290000,000;0;0;0009,000;0036,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0023,000;'ACT:PROB';724285,714;0639,000;7080000,000;1;0;0003,000;0038,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0024,000;'ACT:PROB';1194285,714;0652,000;6540000,000;1;0;0001,000;0040,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0025,000;'ACT:PROB';183333,333;0664,000;4100000,000;0;0;0010,000;0042,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0026,000;'ACT:PROB';210476,190;0664,000;2680000,000;0;0;0000,000;0044,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0027,000;'ACT:PROB';201428,571;0724,000;6360000,000;0;0;0007,000;0046,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0028,000;'ACT:PROB';162380,952;0669,000;5930000,000;0;0;0010,000;0048,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0029,000;'ACT:PROB';239047,619;0682,000;4530000,000;0;0;0009,000;0050,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0030,000;'ACT:PROB';349523,810;0637,000;8240000,000;0;0;0001,000;0052,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0031,000;'ACT:PROB';169047,619;0656,000;7900000,000;0;0;0004,000;0054,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0032,000;'ACT:PROB';430476,190;0725,000;830000,000;0;1;0004,000;0056,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0033,000;'ACT:PROB';309523,810;0725,000;2110000,000;0;0;0008,000;0058,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0034,000;'ACT:PROB';169523,810;0645,000;1990000,000;0;0;0006,000;0060,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0035,000;'ACT:PROB';220000,000;0648,000;1980000,000;0;0;0002,000;0062,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0036,000;'ACT:PROB';195714,286;0650,000;3290000,000;0;0;0010,000;0064,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0037,000;'ACT:PROB';197619,048;0659,000;4560000,000;0;0;0010,000;0066,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0038,000;'ACT:PROB';183333,333;0652,000;1710000,000;0;0;0005,000;0068,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0039,000;'ACT:PROB';192380,952;0673,000;6490000,000;0;0;0008,000;0070,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0040,000;'ACT:PROB';301904,762;0665,000;3950000,000;1;0;0001,000;0072,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0041,000;'ACT:PROB';493333,333;0703,000;5350000,000;0;0;0000,000;0074,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0042,000;'ACT:PROB';178095,238;0657,000;3600000,000;0;0;0003,000;0076,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0043,000;'ACT:PROB';304285,714;0643,000;5830000,000;1;0;0006,000;0078,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0044,000;'ACT:PROB';569523,810;0669,000;4680000,000;0;0;0007,000;0080,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0045,000;'ACT:PROB';252857,143;0662,000;6340000,000;1;0;0005,000;0082,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0046,000;'ACT:PROB';181904,762;0647,000;5320000,000;0;0;0001,000;0084,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0047,000;'ACT:PROB';1584285,714;0624,000;4750000,000;1;0;0002,000;0085,000;0000,000;0000,000;1806141352,000
'14/06/2018 13:51:45';0048,000;'ACT:PROB';189523,810;0725,000;950000,000;0;0;0001,000;0087,000;0000,000;0001,000;1806141352,000
'14/06/2018 13:51:45';0049,000;'ACT:PROB';235714,286;0630,000;7790000,000;0;0;0001,000;0089,000;0000,000;0001,000;1806141352,000
