CLIENT	TRIALN	KEY	BASELINE	MAXLEUVEN	MAXV	REJECT	NON_RESPPONS	Stimulus	Total_Trial_Nr	practice	acq	DATE
'11/01/2018 10:23:14'	1	'ACT:PROB'	385238,095	690	1800000	0	0	0	1	1	0	1801111023
'11/01/2018 10:23:14'	2	'ACT:PROB'	456666,667	616	2960000	0	0	7	2	1	0	1801111023
'11/01/2018 10:23:14'	3	'ACT:PROB'	354761,905	616	2090000	0	0	7	3	1	0	1801111023
'11/01/2018 10:23:14'	4	'ACT:PROB'	420000	615	750000	1	0	0	4	1	0	1801111023
'11/01/2018 10:23:14'	5	'ACT:PROB'	381904,762	657	850000	1	0	7	5	1	0	1801111023
'11/01/2018 10:23:14'	6	'ACT:PROB'	356190,476	611	1550000	0	0	7	6	1	0	1801111023
'11/01/2018 10:23:14'	7	'ACT:PROB'	347619,048	603	1360000	0	0	0	7	1	0	1801111023
'11/01/2018 10:23:14'	8	'ACT:PROB'	486190,476	610	2340000	0	0	7	8	1	0	1801111023
'11/01/2018 10:23:14'	9	'ACT:PROB'	419523,81	603	680000	0	1	0	9	1	0	1801111023
'11/01/2018 10:23:14'	10	'ACT:PROB'	380000	618	960000	0	0	7	10	1	0	1801111023
'11/01/2018 10:23:14'	11	'ACT:PROB'	1672857,143	620	2830000	1	0	7	11	0	1	1801111023
'11/01/2018 10:23:14'	12	'ACT:PROB'	277619,048	711	1760000	0	0	7	13	0	1	1801111023
'11/01/2018 10:23:14'	13	'ACT:PROB'	293809,524	658	760000	1	0	7	15	0	1	1801111023
'11/01/2018 10:23:14'	14	'ACT:PROB'	307619,048	649	2340000	0	0	7	17	0	1	1801111023
'11/01/2018 10:23:14'	15	'ACT:PROB'	564761,905	660	690000	1	0	7	19	0	1	1801111023
'11/01/2018 10:23:14'	16	'ACT:PROB'	364761,905	655	600000	1	0	7	21	0	1	1801111023
'11/01/2018 10:23:14'	17	'ACT:PROB'	745238,095	664	2550000	1	0	0	23	0	1	1801111023
'11/01/2018 10:23:14'	18	'ACT:PROB'	205238,095	646	960000	0	0	7	27	0	0	1801111023
'11/01/2018 10:23:14'	19	'ACT:PROB'	410476,19	651	850000	1	0	9	29	0	0	1801111023
'11/01/2018 10:23:14'	20	'ACT:PROB'	309047,619	654	1460000	1	0	10	31	0	0	1801111023
'11/01/2018 10:23:14'	21	'ACT:PROB'	301904,762	661	620000	0	0	0	33	0	0	1801111023
'11/01/2018 10:23:14'	22	'ACT:PROB'	817619,048	576	1800000	1	0	8	34	0	0	1801111023
'11/01/2018 10:23:14'	23	'ACT:PROB'	296666,667	669	560000	0	1	7	36	0	0	1801111023
'11/01/2018 10:23:14'	24	'ACT:PROB'	183333,333	668	690000	1	0	5	38	0	0	1801111023
'11/01/2018 10:23:14'	25	'ACT:PROB'	217142,857	653	1190000	1	0	6	40	0	0	1801111023
'11/01/2018 10:23:14'	26	'ACT:PROB'	174285,714	644	510000	0	0	5	42	0	0	1801111023
'11/01/2018 10:23:14'	27	'ACT:PROB'	297142,857	651	630000	0	0	4	44	0	0	1801111023
'11/01/2018 10:23:14'	28	'ACT:PROB'	225714,286	665	680000	0	0	7	46	0	0	1801111023
'11/01/2018 10:23:14'	29	'ACT:PROB'	323333,333	592	590000	0	0	8	48	0	0	1801111023
'11/01/2018 10:23:14'	30	'ACT:PROB'	215714,286	672	920000	0	0	9	50	0	0	1801111023
'11/01/2018 10:23:14'	31	'ACT:PROB'	269523,81	636	830000	0	0	7	52	0	0	1801111023
'11/01/2018 10:23:14'	32	'ACT:PROB'	1155714,286	577	1090000	1	0	0	54	0	0	1801111023
'11/01/2018 10:23:14'	33	'ACT:PROB'	400000	654	880000	1	0	10	56	0	0	1801111023
'11/01/2018 10:23:14'	34	'ACT:PROB'	262380,952	658	780000	0	0	4	58	0	0	1801111023
'11/01/2018 10:23:14'	35	'ACT:PROB'	260000	614	1730000	0	0	6	60	0	0	1801111023
'11/01/2018 10:23:14'	36	'ACT:PROB'	334285,714	653	3220000	0	0	7	65	0	1	1801111023
'11/01/2018 10:23:14'	37	'ACT:PROB'	189047,619	614	1550000	0	0	7	66	0	1	1801111023
